,titles,users,descriptions,dates
26,From my favorite movies..,hjpog,"It is one of the best movies in the world that many people will join me. Watching very, very impressed. What it might be called the great stories of Stephen King anyway. Acting on cues can say is enormous. There's no posturing. Especially when Andy Dufrense incredible music that review still stands wandering on everyone's lips. Finale as you lose yourself in it is a movie you are getting into. Finals if he so exhilarating you a high-quality music. And finding that deserves really deserve. I watched this film very young age and it has taught me that the magic of cinema in a nice way. This film is one of the reasons I hate the Oscars. Will remain as the best film in more than 10 years, I believe wholeheartedly sites. Definitely one of the best films in the world.

                    61 out of 80 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",13 December 2015
27,"""I Had To Go To Prison To Learn To Be A Crook""",bkoganbing,"None of the usual otherworld creatures that populate the works of Stephen King are to be found in The Shawshank Redemption. But the real world of that Maine prison has some bizarre rules of its own and there's a whole new reality within those walls.In the tradition of Cool Hand Luke and Birdman Of Alcatraz comes Tim Robbins who was a banker on the outside, but when he caught his wife cheating on him with a golf pro from their country club, he's convicted of putting eight bullets in them, four apiece and tried and sentenced to two consecutive life terms in Shawshank prison. Like Luke and Bob Stroud he works out his own rehabilitation and rebels against the prison system.He may be a con, but Robbins still has all his knowledge of finances and pretty soon he's made himself quite invaluable to the warden and the rest of the staff at the prison. At the same time he and the cell block scrounger Morgan Freeman develop a close personal relationship. In the end they beat the system in a most unique way.There have been some classic prison films made ever since The Big House at the dawn of the talkies. Two I've already mentioned. My favorite prison film is Robert Redford's Brubaker, but The Shawshank Redemption comes pretty close. As does The Green Mile which was also directed by Frank Darabont.Darabont got an Oscar nomination as did the film itself and as did Morgan Freeman for Best Actor. The Shawshank Redemption was in for a flock more Oscar nominations in 1994. A couple other good performances are that of James Whitmore the institutionalized con who is there for 50 years and paroled and just can't make it on the outside. He will break your heart as will Gil Bellows who plays a fresh, but rather likable young con who runs afoul of the warden.Speaking of which Bob Gunton as the warden will positively chill you with his corruption. You would have to go back all the way to the James Cagney classic, The Mayor Of Hell where Dudley Digges was the warden of boys reformatory to find a warden that is as sanctimonious and as corrupt as Gunton. This is a man who gives Bibles out to each inmate hoping that the reading of the Good Book will improve the moral fiber of the convicts. At the same time he's raking in money every which way he can and a rather special punishment is meted out to him by Robbins.The Shawshank Redemption may not have monsters and other worldly creatures that normally characterize a Stephen King story. But the world of Shawshank prison is bizarre enough for any normal person if you see this wonderfully crafted and acted film.",17 February 2011
28,The Greatest Movie of all Time,josephledbury,"Could a movie be any more perfect? This movie is just absolutely stunning in so many ways. Acting perfect, storyline perfect, soundtrack perfect, emotional drama perfect, everything about this movie is perfect.When this movie first came out it did not reach the expectations that many people expected it to. But as the years went one it was nominated for seven Academy Awards and as it was available for rent everywhere more people started appreciating it and it's popularity grew. Eventually after many years in the top 5 of IMDb's top 250 movies of all time list, it hit number 1 with over one million votes.The story is about a well educated vice president of a large bank being wrongly accused of murdering his wife and her lover and is sentenced to spend life at a large prison in new England called Shawshank prison. As the years go on in his new home he makes friends, enemys and a dramatic twist at the end which became one of the most legendary scenes in movie history.I love this movie. The acting is just so passionate and their performances increases the drama and horror of life in prison. The soundtrack is one of the main reason behind the emotional drama this movie. Many scenes in this movie almost left me in tears mainly because of the soundtrack in the background which increases the emotion. The cast of this movie include Academy Awards winners Morgan Freeman and Tim Robbins. And also William Sadler, Bob Gunton and many other who made this movie what it is.Overall it is defiantly the Greatest movie ever made with passionate acting, great storyline and plenty of emotional drama about how hope overcomes fear in a beautifully crafted film about the strength of the human spirit.",16 July 2013
29,Undeservedly top 1,tikywts,"An overrated film that I watched as a teenager and recently decided to re-watch. I must say right away that I like this film, but it is undeservedly and too popular and occupies the first line - this is completely undeserved in comparison with other films of more talented authors.
I am very saddened that people do not see other works, and for so long this film has been number one among the best films. The actors are talented, the plot is just good, not brilliant, like Stanley Kubrick in ""A Space Odyssey"". Even this I am ready to see in the top-1, but not ""Shawshank Redemption"". I understand that many will disagree with me or say that I just hate, but this is not true, and you can understand this by comparing it with other films, is this film so good and does it deserve the first place?

                    23 out of 40 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",9 February 2021
30,absurdly overrated,calebwilliams,"This movie is absurdly overrated by people who think soppy affirmative moviemaking accompanied by a lush score is synonymous with aesthetic brilliance.    The direction is nothing to write home about, the cinematography is, frankly, standard.  The script has Steven King written all over it - a melodramatic plot involving the woes of an educated bloke told in overwrought dialogue full of clumsy metaphors.  (A good example: the moment when the scriptwriter decided that the prisoner's interest in geology had to be spelled out for the dumber members of the audience ""It's all about TIME and PRESSURE..."" just in case anyone managed to miss the connection). Morgan Freeman is, as usual, superb but Tim Robbins is inconsistent as a man who goes from being the gaol newcomer to an old hand.  While the film's sympathetic liberal political stance can be commended, it's certainly not a great work of art.

                    24 out of 57 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",31 August 2004
31,A movie about an innocent clever man who learns to live within prison walls.,The Boz,"This is Tim Robbins best performance ever. It is a compelling heart warming drama about an innocent man(Andy Dufresbe) who is sent to prison and learns to use his intelligence to make the best of prison life. He meets a mentor in Red(Morgan Freeman) and they build a friendship that is stronger than the walls that surround them. Andy steadies a relationship with the warden that keeps him in the good eyes of the prison. Andy is full of surprises and uses his resourcefulness to not only win the friendships of his fellow prisoners, but also of the prison guards. Both Andy and Red both hold on to their dream of one day enjoying their freedom. They turn their friendship and dreams of freedom into a bond that no prison could ever take away.

                    35 out of 44 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",30 July 1998
32,never give up hope,lee_eisenberg,"""The Shawshank Redemption"" should have won Best Picture for 1994. A story of banker Andy Dufresne (Tim Robbins) getting falsely convicted of murder and sent to the hellish Shawshank prison, the movie is beyond amazing. In prison, Andy meets Ellis Boyd ""Red"" Redding (Morgan Freeman), who was imprisoned many years earlier. Red gets Andy a poster of Rita Hayworth. Over the next twenty years, Andy experiences all the horrors that one would expect in jail: beatings by the guards, rapes by other inmates, and so on. But he never gives up hope.This movie, like ""Carrie"", ""The Shining"", ""Dolores Claiborne"", ""The Green Mile"" and ""Hearts in Atlantis"", just goes to show what a great author Stephen King is. When we think of horror, we think of spooky horror, but ""The Shawshank Redemption"" is a different kind: personal horror. Pure genius. I can only hope that in the coming years, this movie is recognized as what it is: a masterpiece. I can't believe that it won no Oscars!

                    45 out of 58 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",1 July 2005
33,Oh my godmother,shiny-metal-ass,"Three words: Oh. My. God.How am i supposed to describe this absolutely fantastic and unbelievable film in words? I don't know. But I'll give it a shot. Here goes.This movie is just bloody excellent, brilliant, fantastic, unbelievable, not a thing wrong with it, shocking (in a good way), heck, pretty much every single good comment word you can think of.I mean, for gods sake, its so damn good it takes your breath away! i seriously could not speak after it! it instantly took every other film i had seen under its shadow, and that's saying something, as i have seen some pretty excellent films.There's not a single actor or actress in this movie who is crap!!! standouts are Morgan freeman, Tim Robbins, and the dude who plays brooks.I could say 1239643609260246704272628xinfinity more things good about this movie, but unfortunately I haven't got that much space, and my fingers would get sore.An absolute must see for everyone, and I'm positive that ill never see another movie better than this, and this will stay at #1 on my list forever.",25 December 2008
34,Hope can set you free and so can this remarkable film,blairgallop7,"One of my favorite movies ever,The Shawshank Redemption is a modern day classic as it tells the story of two inmates who become friends and find solace over the years in which this movie takes place.Based on a Stephen King novel,this movie makes us feel different watching this film than most others as this is an incredibly realistic film.Tim Robbins stars as Andy Dufresne who is convicted of murder and Morgan Freeman as Ellis Boyd ""Red"" Redding who is a fellow inmate and close friend of Dufresne and Bob Gunton as Warden Samuel Norton who is the Warden of Shawshank State Prison and is a character who has mixed feelings and emotions towards everyone around him and a character who is sometimes easy to like and at other times easy to despise.This film is easily considered one of the greatest films of all time and I definitely agree with this fact.It was nominated for seven Academy Awards including (Best Picture, Best Actor  Morgan Freeman, Best Adapted Screenplay, Best Cinematography, Best Editing, Best Original Score, and Best Sound) but didn't win any due to tough competition from the film Forrest Gump.I personally think that Tim Robbins should have been nominated for the Best Actor award as he really gave the performance of his career.Bravo to this brilliant modern day classic!",30 December 2007
35,A movie revolution upon all others,Bloker-1,"We have all see movies, comedies, action and dramas. We all liked ones, hated others, got into some other even and felt like part of it. In Shawshank Redemption; you start slowly, after a while you get attached, by the time you reach the middle of the movie you simply totally forget about anything outside the screen and feel a mixed stream of emotions going through you head before anything else! then comes a last 20 minutes of heart storming that is surely enough to raise the adrenaline to extreme levels even in diabetics! I felt warm, strong, happy and all other emotions one can think of, I felt I was the one who won, who got out of prison, i was simply fully satisfied.This movie must be used as an Anti-depression by therapists! this movie proves that Oscars are either money bought gifts! or that who ever in charge of them are so smart that they couldn't give any Oscar to The Shawshank Redemption knowing that the movie is on different - much higher- rating scale than the Oscars.. it's simply over qualified!

                    70 out of 94 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",7 September 2006
36,Finding Beauty in the Shadows,jiposek,"It is a cinematic masterpiece that delves into the profound human experiences hidden within the darkness of a prison. Tim Robbins' portrayal of Andy Dufresne and Morgan Freeman's captivating performance as Red create an indelible bond that transcends the boundaries of their confined world. Director Frank Darabont weaves a poignant tale of hope, friendship, and the pursuit of redemption against the backdrop of injustice and despair. The film's visual splendor and evocative soundtrack enhance the emotional depth of the story, leaving audiences inspired and deeply moved. ""Finding Beauty in the Shadows: The Shawshank Redemption"" reminds us that even in the bleakest of circumstances, the human spirit can find solace and beauty, making it an enduring and cherished classic.

                    7 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",23 July 2023
37,A Timeless Tale of Hope and Resilience,hosodi-11867,"It is a timeless tale of hope and resilience that remains deeply impactful to this day. Set within the confines of Shawshank State Penitentiary, the film intricately weaves a narrative of human spirit's triumph over adversity and the enduring power of hope. Tim Robbins and Morgan Freeman deliver captivating performances, infusing life into their characters and making their journey truly unforgettable. Under the skilled direction of Frank Darabont, the film's storytelling unfolds seamlessly, drawing the audience into a world of despair and redemption. Through its exploration of friendship, injustice, and the pursuit of freedom, ""The Shawshank Redemption"" resonates with audiences worldwide, leaving a profound and emotional impression that lingers long after the credits roll.

                    7 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",23 July 2023
38,The Shawshank Journey,vawigo-56663,"It takes audiences on an unforgettable cinematic journey, exploring the indomitable human spirit and the pursuit of redemption. Tim Robbins delivers a compelling performance as Andy Dufresne, a man wrongfully convicted and sentenced to life in Shawshank State Penitentiary. Through his unlikely friendship with Red, portrayed brilliantly by Morgan Freeman, the film delves deep into the complexities of human connection and the transformative power of hope. Frank Darabont's directorial finesse brings Stephen King's novella to life, painting a poignant portrait of resilience amidst a harsh and unforgiving prison environment. With its thought-provoking themes, stellar performances, and emotionally resonant storytelling, ""Finding Redemption: The Shawshank Journey"" continues to captivate audiences, earning its place as one of cinema's most beloved and timeless classics.

                    7 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",23 July 2023
39,life changing,ellandanne,"I first saw this film, like many others, by chance and on DVD. And like others, I have since watched it over and over again. When I feel sad, it makes me feel happy, when I need hope, it gives me hope.When I want to reaffirm my very belief in life, and all it can offer, this film gives me a new sense of purpose that no other film has ever come close to doing.It soars above anything any other movie has tried to achieve in the way it touches on the true virtues of life itself. The portrayal of friendship, the devastation of loss and the maintaining of hope. Outstanding performances from the two leads and the most beautiful of narratives are the tip of the iceberg of why this film is so great. The cinematography from the very first shots of the prison are stunning and the accompanying soundtrack add to the haunting atmosphere when we first venture inside the prison walls. Thank you Mr Darabont, Mr Robins and Mr Freeman. Thank you to every one else involved. You changed my life

                    30 out of 38 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",27 November 2011
40,Over Rated,dbborroughs,"There is no denying that this is a very good movie. The acting is great and it tells a good story. Personally, I find it a bit too long and a little too sweet for my taste, but its far from a bad film. On the other end of the spectrum I have yet to understand why this film was nominated for as many Oscars as it was and why so many people have fallen in love with it. To place it on the same level as The Godfather and several hundred other films has to be the result of different tastes.
This is a film that should be seen because its a good movie, not because its a great one.

                    96 out of 216 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",24 April 2004
41,I thought there were supposed to be no fairytales?,Marmaduke Grove,"!!Spoilers to this movie, as well as to Sixth Sense and Citizen Kane just for spite!!Shawshank Redemption is one of those movies that oozes with ""give me an Oscar pleeeeeease"" all over it. You know the type  - like ""Dances with Wolves."" Oversentimental and overlong. It's surprising that this movie has such a high imdb ranking considering it's such a very black and white (prisoners=good, prison-keepers=evil) movie rehashing what's been hashed and hashed many times.The story concerns an apparently-wrongly-convicted banker Andy Dufresne (Tim Robbins) who is sentenced to life at Shawshank Prison in that creepiest of states, Maine, for murdering his wife and her lover. His main 'friend' at Shawshank is wily old-time-prisoner named Red (Morgan Freeman). Nobody can deny that Morgan Freeman is one of the greatest actors ever, and I'm not going to. Tim Robbins also gives a performance that one wouldn't guess he had in him by watching, say, ""Nothing to Lose"" (which nevertheless is a better movie). And the supporting cast is all excellent in roles that are incredibly one-dimensional. Okay, that's it for the good. Here comes the bad, and the ugly.Early on in the film, Red, who doubles as the narrator, tells us that although he'd like to tell us Andy wasn't gang-raped by some of the fellow inmates (the only bad inmates in there, by the way, and then they get sent away, so that leaves only good ones) but he can't, cause ""that'd be a fairytale.  And there are no fairytales here at Shawshank."" How wrong he is! The whole movie is a fairytale (albeit without any of the excitement and fast-pace of one).We get characters who are so completely good as to be Saints for our two main prisoners (and most of the other ones) and the Prison guards and warden who all seem to be variations on the evil stepmother from Cinderella and the evil stepmother from Snow White (heck, they're so evil, their intramural baseball team's name is the Marauders. Gee, I wonder if you people get the hidden message?).The story itself is about two-and-a-half hours of sadism (very slow-paced sadism, mind you), an hour of philosophical jabbering that, frankly, is far inferior to a philosophy class at the college if you're into that sort of thing (Hope is Good? Oh my God! What a revelation! Tell me more! Honestly, I've heard songs which have more depth than this movie!) And half an hour of the ending.It's hard to talk about the faults of the movie without giving away the ending, because, the ending itself is one of the main ones. All good movies have an ending that makes you think (or at least are somewhat open to interpretation, and/or sequels). But not this one. Although I counted at least five or six points where the movie could have ended with leaving some room for thought, it follows through to the bitter predictable end. It's as if it's saying ""you know what, you viewers are all idiots, we better not let you think about anything at all."" Even if that was true, it's quite insulting.  What's more is the ending is incredibly predictable. How could it not be, if it's told to you in the title of the movie? I mean, imagine if the Sixth Sense was called ""The Dead Psychologist"" or Citizen Kane was called ""The Sled"" (sorry, imdb censorship guys, I know this makes your job harder, but I just can't think of a way to explain it otherwise).And I haven't even mentioned the worst part. This movie is incredibly long and boring. It's not a movie that is ""slow"" or ""moves at its own pace"" - those are alright by me. No, this movie, something is always happening, but not a single thing of interest. And like that for hours and hours and hours and hours and hours. Okay, that's a bit of an exaggeration. But still.Another thing is this movie's already-mentioned assumed self-importance. It's irritating at the least. It's a long, boring, unoriginal version of what Cinderella would be if somebody traded in all the women characters for swearing, rape and police brutality. I mean, frankly, Charles Perrot beat you to it by four centuries, that's close to an all time record for unoriginality!",26 May 2002
42,Masterpiece,Michael_Elliott,"Shawshank Redemption, The (1994)**** (out of 4)An innocent man (Tim Robbins) is sent to prison on murder charges and once there he bonds with another man (Morgan Freeman) serving a life sentence. I remember seeing this when it was first released to theaters and walking out thinking it was a masterpiece but apparently others couldn't be bothered to see it since the box office results were very low and it was out of theaters in no time. Over the years the reputation of this film has grown and as I write this it's currently #1 at IMDb. I certainly wouldn't call this the greatest film ever made but it's certainly one of them. I think it's an insult to call this a prison movie because it's so much more than that. This is a film about friendship and hope. Those are two things that have played major parts in many movies but I can't think of too many films where the payoff is as large. What makes the film work so well is that director Durabont takes his time telling a story that takes place over twenty years. Another wonderful thing the director does is that he really makes the twenty years pass on a believable manor. Most films that jump time feel cheap and rushed but that's not the case here because the wonderful screenplay lets us get to know the two main character but also the supporting characters are very well written. What really brings this magic to life are the performances, which are downright brilliant and I'd argue that you can see some of the greatest ensemble acting right in this film. Robbins and Freeman are terrific together and really make for one of the most memorable friendships in movie history. The way Robbins walks and talks is perfectly done and I just love the way, as Freeman says in his narration, he walks around as if he didn't have a care in the world. Freeman gives another wonderful performance but what's really great about him is the narration he adds as he tells us the story. James Whitmore is terrific as the elderly convict and Clancy Brown and Bob Gunton make for excellent villains. I won't spoil the ending for anyone but the final twenty-minutes are at times breathtaking in their beauty and it's message of hope rings louder than most movies.",2 December 2008
43,Greatest movie of all time!,sbrahman,"This movie is one of my all time favorites. Undoubtedly, one of the most brilliant movies I have ever seen. Story, cast, screenplay all are great. The directing by Frank Darabont was just magnificent. The amazing casting of both Morgan Freeman and Tim Robbins is amazing, and couldn't be more accurate. It was narrated by Morgan Freeman, who is the best narrator in Hollywood, I believe. Actually the film depends on the story and the way in which it unravels. It will change the way u think about things around u. Surely, It will teach you one thing that it is easy to take away a man's bread, even his freedom, but impossible to take away his hope.I can say with confidence this is the best movie I have ever seen - or ever will see. If you haven't watch it yet, just GO! Watch it! Now!

                    31 out of 40 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",16 July 2013
44,Masterpiece,saimaq-27868,"This for me and many other people is the greatest movie of all time it has amazing directing it has amazing acting by Tim Robinson and Morgan freeman whoever says that they don't like this movie should never watch another movie again overall the greatest movie of all time.

                    10 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",2 October 2021
45,Redemption,jusdafide,"This movie is poetry. For those of you who've ever felt the way poetry rolls off of the tongue, you'll understand what I mean when I say this.The first thing that makes this movie great is Morgan Freeman's ability to narrate the way he does. His soft, yet ruff voice provides the audience with the belief that this man has endured many years of hardships and has gained wisdom and experience through trial and error. He is a natural story teller, so his ability as a narrator is natural and smooth; not forced, like so many other actors.Tim Robbins displays his acting ability beautifully and captures the audience with an intense amount of emotion, which seems to resonate in his eyes. The genius and wisdom of the character he portrays is a fascinating thing to watch unfold, as the story lays itself out, like a poster of Rita Hayworth.To say that this movie gives the audience hope would be unfair because this movie makes the audience want to live, love, experience life for all of its pleasures and its faults. It makes one appreciate the simple things and slow down a bit, to admire that which we pass a hundred times a day, but never truly see.To describe this movie as ""great"" would be an understatement because it is so much more than that. While it is brutal and realistic, it portrays humanity at our best and our worst, providing the audience with a mirror in which to reflect what lies within. By the time the credits roll, we're left speechless...and at the same time, wanting to share this masterpiece with those we love and cherish.Everyone should see this movie at least once in a lifetime to make us appreciate everything we have. Who would have thought someone could capture humanity this way? I guess a picture really is worth a thousand words......",16 May 2009
46,One of the most powerful movies I've ever watched,antoinepana,"The characters are so well developped and well interpreted by the actors that you really feel for them which makes the whole story even more compeling. The structure builts up emotionnaly like only Darabont can do it. Breathtaking!

                    13 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",7 October 2019
47,Busy dying or busy living?,ProperCharlie,"**Yes, there are SPOILERS here**This film has had such an emotional impact on me, I find it hard to write comments on it.  I've read a lot of the previous comments; all those that gush and eulogise as well as those who think it's over-rated or cliched. Most have got good points to make, however the thing that I think everyone is struggling to both explain and come to terms with is just why this film is *so* loved.  Loved to the extent that for many it is an almost spiritual experience or for those of a more secular nature like myself, loved as one of the most devastatingly uplifting things that can happen to you while watching a film.So I'm not going to review it, I'm just going to struggle in my own way to explain this film.  It took me a few viewings to get why I connect with it so deeply, but here goes.Many people in this world are unhappy.  Most people in this world don't want to be unhappy.  Lots of people wish, pray and above all hope for that magic wand to wave and wash them of their fears, losses, angers and pains once and for all.  They see lots of other people seemingly in this magical state, while they suffer.  To borrow the words of another film, they're watching the bluebirds flying over the rainbow.Many unhappy people have learned that the magic wand doesn't exist. They're not destined to join the bluebirds and fairytales don't come true.  It's not that no one lives happily ever after, it's just that they're not going to. They're busy dying.In this film, or as some people have quite correctly said, this fairytale, magic wands exist.  And that magic wand is Andy Dufrense imitating Houdini. However this film is not about him.  Neither is it about the prison, the governor, the guard, the plot, the acting, the cinematography, the script, the direction or the score.It's about Red.  He is the one who has become institutionally unhappy, he's not only trapped in a prison, not only has he given up on the idea of ever leaving, not only does he have no hope, he knows that if the miracle would ever happen to him, he couldn't cope.  He's safe in his unhappiness and that security is what keeps him going.  Hope is, as Red say, dangerous.  The metaphor for a certain illness here is very clear to me and I know that a rather large number of people suffer from it.  A large proportion of those don't understand what's wrong, but they certainly can recognise a fellow sufferer.  Those who are mercifully untouched by this illness definitely don't understand what's going on in those who do.  They're too busy living.The miracle in this film is not only that Red is redeemed but that the world outside the prison isn't all warm and sandy and sunny and with excellent fishing.  Some of it is rocky and uncertain.  Fairytales don't get this far. They'd end as Red left the gates of the prison and the credits would say 'and he lived happily ever after'.  This is the only film I can currently think of where they show how to get to the living happily ever after bit from your redemption via the rocky and uncertain ground of bagging groceries at the local store.  In other words, they're not going to cheat you and tell you everything's going to be alright.This is crucial.  For two and half hours, those of us who are quite content to mooch around our own personal prisons can see an escape route quite different to Andy's mapped out on the screen.  And it's a real way out. It's hard and upsetting, but ultimately rewarding.  The high you get from finding out and knowing that is only comparable diamorphine.The trouble is, if you're already busy living, this film won't mean that much and you'll see it a little more clearly than those busy dying.  To those fortunate individuals, watch this film and understand what the rest of us are going through.So, yes, this film is a cliched fairytale and maybe as a story it isn't realistic and at second on the IMDb all time list, it is a bit over-rated. However if you could have a chart of films listing the number of lives saved, altered and improved, the Shawshank Redemption would be way out in front at number one.",1 September 2002
48,This is a wonderful movie!!!!,ZeyuZhang_1229,"When I first see it, I am too young to understand all the things the movie what to show us. The film gave me a very different feeling. Hope is a dangerous thing, is the root of mental distress. Because since come in the day, the warden said, ""the soul to god, the body to me.""Except that he can get the cigarettes and naked woman printed CARDS and any other changes I can't seem to grow within the walls of the dark. However Andy told him, ""remember, hope is a good thing - and perhaps even good. And no good thing will never disappear."" So Andy can use 20 years digging Red think can chisel in tunnel in six hundred.When he finally climbed out of the five hundred yards of the stench of sewage pipes, standing in the pouring rain can't help, we seem to see faith Pierce heavy darkness, played a luminous in the dark of the night out of the blue.Under the light, the soul of our weak under Andy with open arms in the sky in succession, and shaking.

                    39 out of 52 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",20 April 2017
49,The closest thing to poetic perfection Hollywood has ever produced,Dave-79,"This touching and heart warming film is the most perfect celebration of the human spirit I have seen. Andy Dufresne, wrongly convicted of murdering his wife and her lover, finds the strength not only to change himself, but to bring hope to those around him in Shawshank Prison.  This inspiring story is interwoven with a soundtrack which invokes every emotion, from haunting and chilling, to stirring and beautiful. When you go to see a movie and it touches you with its poetry, music, and its atmosphere, and leaves you with a sense of victorious satisfaction, it is a triumph.  Field of Dreams was the first movie which invoked these emotions in me.  Shawshank Redemption is even more powerful for its simplicity.  It doesn't pretend to be clean, nor could it be called a family movie.  It is brutal and violent at times, horrifying and sickening at others. However the title says it all. Redemption is what this story is all about.  And it is not necessarily redemption for the actual crimes you might have committed, but it is redemption for the way you have lived your life.  What emerges can only be called a maginificent piece of art.  This is what movies were meant to be.",2 August 1998
50,its an excellent piece of art,muzahid-13629,"i watch this movie for minimum 5-6 times first to last. so every time i enjoyed as i watching it first time. its a piece of art. and we now know how to entertain with no action or fighting scenes. its a pure drama that anyone can enjoy with family in silence. so i rate this movie 10 out of 10 because of amazing screen play, acting, casting, background scoring editing etc. this is my first movie review so pardon me if i did any mistake.

                    40 out of 54 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",30 November 2017
51,A bit overhyped,Wistfull,"Decent entertainment, somewhat memorable. Why this is seen as such an incredible, sensational work of art is beyond me... I feel like this is one of the few crime-thriller-prison-action related films that met my expectations, as in, was A Good Film, but that alone doesn't make it a classic.

                    12 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",7 April 2022
52,Too flawed,kevjfarrell,This movie is a total piece of manipulation. It does have a few redeeming features though - Morgan Freeman's narration all through is pure art!!! This guy acts with his mouth!!! As a piece of fiction it has some merit and I can see why many people would enjoy it. But to be classed as one of the best movies of all time - really? C'mon!!! Certainly the portrayal of the brutality of the guards during those times I would say is fairly realistic.The one part of the story where an old timer gets released does ring true. There are many people like that who are totally institutionalized and do not have the skill to survive on the outside without a good support network in place.This is a movie for those people who like everything laid out perfectly for them and doesn't require any thinking. Personally I like a bit more depth and reality.I don't want to put people off seeing it - it should be watched once. But for me the flaws outweigh its redeeming features.,8 August 2015
53,My #1,Food_For_Thought,"I was reluctant to see this movie - thought it was just another prison movie - and I was certainly tired of mindless violence. I was channel surfing one evening - and stumbled across this movie. I watched a few minutes, thinking I would change channels at the first commercial. Almost 2 hours later - after seeing the end - I sat there...saying ""Wow"". That was a great movie. I have since recommended it to friends and family...it has grown in popularity due to word of mouth - and certainly deserves its spot at the top. Morgan Freeman put on a masterful performance, as did Tim Robbins. The way their friendship develops and the interplay with the other inmates - a wonderful story.If you have not watched this movie yet - put preconceived notions aside, sit down, and enjoy the journey!

                    6 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",4 August 2010
54,Hope is everything,djhenebury-1,"This movie surprised me so much I watched it twice in one day the first time I saw it. Sure I hadn't just picked a movie at random, at the local DVD-shop, but I didn't expect it to be so good. After I watched it I had a look on the IMDb website and was surprised once again that i found it placed number 2 on the top 250 movies list. I wondered to myself, why didn't I know about this movie. Afterall Morgan Freeman and Tim Robbins are quite well-known actors. Frank Darabont however only just caught my attention in 1999, when 'the Green Mile' was released. Finally I came to the conclusion that it must have been either television, because it surely isn't on television often enough, or it could just be me, not knowing very much about the film-world before 1995. For in fact, everyone in my school seemed to have known 'the Shawshank Redemption' for a very long time. ""One of the best movies ever"", my best friend said, ""My favorite movie in the whole wide world"", another one of my friends. THEN WHY DIDN'T YOU TELL ME!!!! I replied. If you liked 'the Green Mile', I'm telling you now, you'll love this!!!

                    6 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",3 January 2006
55,Best movie of all time!,maubejr,"The first time I ever saw this movie I was just floored at how incredible it was. What wonderful casting that was done to help this amazing story be told. Stephen King has a way about creating such memorable characters. For those of you who think this movie is a ""prison movie"" you are sadly mistaken. This movie merely takes place in a prison but this story is about so much more...friendship, hope, survival and dreams! There is a reason this movie is voted #1 on the IMDb site! Not only have I enjoyed watching this movie over a hundred times but I have been lucky enough to have been in that prison numerous times doing paranormal events. My last visit out there was last weekend and I decided to also go and visit all of the filming locations! That was a real treat! All I can say is that if you have not seen this film just take the time to watch it and just take in the amazing story and the incredible performances turned in by the cast! I promise you that you won't be sorry!!!

                    20 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",10 August 2017
